player_name,position,time,Total Completed Passes,Total Long Passes,Total Medium Passes,Total Short Passes,Total Goal Assists,Total Passes,Total Shot Assists,Total Crosses,Completed Passes per 90 min,Long Passes per 90 min,Medium Passes per 90 min,Goal Assists per 90 min,Short Passes per 90 min,Shot Assists per 90 min,Crosses per 90 min,Pass Success Rate,Total Ball Receipts,Total Lost Balls,Ball Receipts per 90 min,Lost Balls per 90 min,Total Own Goals,Total Clearances,Total Left Foot Clearances,Total Right Foot Clearances,Total Head Clearances,Total Other Clearances,Total Aerial Duels Won,Clearances per 90 min,Aerial Duels Won per 90 min,Total Interceptions,Interceptions per 90 min,Total Fouls Won,Total Penalties Won,Fouls Won per 90 min,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total Penalties Conceded,Fouls Committed per 90 min,Total Ball Recoveries,Ball Recoveries per 90 min,Total Blocks,Blocks per 90 min,Total Completed Dribbles,Dribble Success Rate,Completed Dribbles per 90 min,Total Dribbled Past,Dribbled Past per 90 min,Total Carries,Mean Distance Carries,Carries per 90 min,Total Duels,Total Duels Won,Duel Won Rate,Duels Won per 90 min,Total Shots,Total Goals,Total Shots Saved,Total Shots Blocked,Total Shots On the Post,Total Shots Off Target,Total Shots On Target,Goals per 90 min,Shots per 90 min,Shots on Target per 90 min,Shots On Target Rate,Goal Conversion Rate,Total Saves,Total Goals Conceded,Total Penalties Saved,Total Penalties Scored Against,Total Punches,Total Keeper Sweeper,Total Smothers,Total Collected,Saves per 90 min,Goals Conceded per 90 min,Goals Conceded Rate,Penalties Saved Rate,Punch per 90 min,Keeper Sweeper per 90 min,Smothers per 90 min,Collected per 90 min
Alberto García Cabrera,Goalkeeper,3.225806451612903,3.225806451612903,9.67741935483871,6.451612903225806,6.451612903225806,48.38709677419355,6.451612903225806,25.806451612903224,50.0,38.70967741935484,27.419354838709676,51.61290322580645,48.38709677419355,48.38709677419355,25.806451612903224,50.0,16.129032258064516,3.225806451612903,53.2258064516129,45.16129032258064,53.2258064516129,54.83870967741935,19.35483870967742,37.096774193548384,30.64516129032258,48.38709677419355,48.38709677419355,50.0,19.35483870967742,50.0,50.0,50.0,20.967741935483872,51.61290322580645,46.774193548387096,74.19354838709677,43.54838709677419,40.32258064516129,67.74193548387096,74.19354838709677,9.67741935483871,70.96774193548387,70.96774193548387,100.0,30.64516129032258,30.64516129032258,30.64516129032258,32.25806451612903,3.225806451612903,3.225806451612903,48.38709677419355,54.83870967741935,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,20.967741935483872,82.25806451612904,93.54838709677419,66.12903225806451,8.064516129032258,17.741935483870968,64.51612903225806,4.838709677419355,96.7741935483871,9.67741935483871,45.16129032258064,93.54838709677419,56.451612903225815,70.96774193548387,96.7741935483871,12.903225806451612
Alphonse Areola,Goalkeeper,66.12903225806451,48.38709677419355,61.29032258064516,54.83870967741935,62.903225806451616,48.38709677419355,54.83870967741935,25.806451612903224,50.0,19.35483870967742,32.25806451612903,22.58064516129032,48.38709677419355,32.25806451612903,25.806451612903224,50.0,35.483870967741936,41.935483870967744,53.2258064516129,3.225806451612903,53.2258064516129,54.83870967741935,51.61290322580645,87.09677419354838,30.64516129032258,48.38709677419355,48.38709677419355,50.0,45.16129032258064,50.0,50.0,50.0,88.70967741935483,51.61290322580645,69.35483870967742,32.25806451612903,43.54838709677419,40.32258064516129,67.74193548387096,35.483870967741936,74.19354838709677,59.67741935483871,91.93548387096774,82.25806451612904,75.80645161290323,82.25806451612904,70.96774193548387,88.70967741935483,88.70967741935483,48.38709677419355,67.74193548387096,9.67741935483871,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,61.29032258064516,54.83870967741935,70.96774193548387,66.12903225806451,90.32258064516128,59.67741935483871,64.51612903225806,100.0,29.03225806451613,93.54838709677419,87.09677419354838,88.70967741935483,98.38709677419355,38.70967741935484,56.451612903225815,96.7741935483871
Andrés Eduardo Fernández Moreno,Goalkeeper,91.93548387096774,83.87096774193549,87.09677419354838,70.96774193548387,74.19354838709677,48.38709677419355,83.87096774193549,91.93548387096774,50.0,41.935483870967744,67.74193548387096,33.87096774193548,48.38709677419355,41.935483870967744,75.80645161290323,50.0,38.70967741935484,67.74193548387096,53.2258064516129,25.806451612903224,53.2258064516129,54.83870967741935,79.03225806451613,37.096774193548384,87.09677419354838,48.38709677419355,48.38709677419355,50.0,62.903225806451616,50.0,50.0,50.0,96.7741935483871,51.61290322580645,69.35483870967742,32.25806451612903,43.54838709677419,90.32258064516128,67.74193548387096,35.483870967741936,100.0,87.09677419354838,91.93548387096774,77.41935483870968,75.80645161290323,61.29032258064516,70.96774193548387,6.451612903225806,22.58064516129032,83.87096774193549,54.83870967741935,48.38709677419355,100.0,100.0,100.0,100.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,80.64516129032258,6.451612903225806,27.419354838709676,14.516129032258066,90.32258064516128,74.19354838709677,85.48387096774194,85.48387096774194,35.483870967741936,25.806451612903224,16.129032258064516,27.419354838709676,80.64516129032258,35.483870967741936,72.58064516129032,74.19354838709677
Antonio Adán Garrido,Goalkeeper,83.87096774193549,51.61290322580645,79.03225806451613,51.61290322580645,54.83870967741935,48.38709677419355,87.09677419354838,91.93548387096774,50.0,9.67741935483871,54.83870967741935,12.903225806451612,48.38709677419355,19.35483870967742,75.80645161290323,50.0,6.451612903225806,74.19354838709677,3.225806451612903,32.25806451612903,3.225806451612903,54.83870967741935,51.61290322580645,87.09677419354838,30.64516129032258,48.38709677419355,48.38709677419355,50.0,45.16129032258064,50.0,50.0,50.0,48.38709677419355,51.61290322580645,27.419354838709676,32.25806451612903,93.54838709677419,40.32258064516129,17.741935483870968,35.483870967741936,80.64516129032258,41.935483870967744,29.03225806451613,29.03225806451613,75.80645161290323,82.25806451612904,70.96774193548387,16.129032258064516,40.32258064516129,70.96774193548387,87.09677419354838,41.935483870967744,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,98.38709677419355,16.129032258064516,27.419354838709676,91.93548387096774,83.87096774193549,54.83870967741935,91.93548387096774,90.32258064516128,87.09677419354838,51.61290322580645,64.51612903225806,27.419354838709676,77.41935483870968,29.03225806451613,80.64516129032258,90.32258064516128
Antonio Rodríguez Martínez,Goalkeeper,25.806451612903224,32.25806451612903,19.35483870967742,41.935483870967744,38.70967741935484,48.38709677419355,25.806451612903224,25.806451612903224,50.0,80.64516129032258,61.29032258064516,87.09677419354838,48.38709677419355,70.96774193548387,25.806451612903224,50.0,93.54838709677419,29.03225806451613,53.2258064516129,70.96774193548387,53.2258064516129,54.83870967741935,19.35483870967742,37.096774193548384,30.64516129032258,48.38709677419355,48.38709677419355,50.0,19.35483870967742,50.0,50.0,50.0,48.38709677419355,51.61290322580645,96.7741935483871,9.67741935483871,43.54838709677419,90.32258064516128,17.741935483870968,6.451612903225806,35.483870967741936,100.0,29.03225806451613,29.03225806451613,30.64516129032258,30.64516129032258,30.64516129032258,59.67741935483871,32.25806451612903,32.25806451612903,70.96774193548387,83.87096774193549,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,16.129032258064516,88.70967741935483,70.96774193548387,43.54838709677419,33.87096774193548,38.70967741935484,24.193548387096776,16.129032258064516,22.58064516129032,61.29032258064516,48.38709677419355,82.25806451612904,85.48387096774194,93.54838709677419,24.193548387096776,24.193548387096776
Asier Riesgo Unamuno,Goalkeeper,74.19354838709677,54.83870967741935,96.7741935483871,35.483870967741936,14.516129032258066,48.38709677419355,80.64516129032258,67.74193548387096,50.0,12.903225806451612,90.32258064516128,3.225806451612903,48.38709677419355,3.225806451612903,59.67741935483871,50.0,12.903225806451612,54.83870967741935,53.2258064516129,19.35483870967742,53.2258064516129,54.83870967741935,100.0,37.096774193548384,100.0,98.38709677419355,48.38709677419355,50.0,93.54838709677419,50.0,50.0,50.0,100.0,51.61290322580645,91.93548387096774,32.25806451612903,93.54838709677419,40.32258064516129,17.741935483870968,35.483870967741936,96.7741935483871,93.54838709677419,29.03225806451613,29.03225806451613,30.64516129032258,30.64516129032258,30.64516129032258,32.25806451612903,51.61290322580645,67.74193548387096,100.0,45.16129032258064,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,54.83870967741935,12.903225806451612,70.96774193548387,27.419354838709676,77.41935483870968,96.7741935483871,98.38709677419355,85.48387096774194,12.903225806451612,35.483870967741936,9.67741935483871,70.96774193548387,50.0,80.64516129032258,91.93548387096774,83.87096774193549
Claudio Andrés Bravo Muñoz,Goalkeeper,61.29032258064516,100.0,38.70967741935484,100.0,100.0,48.38709677419355,67.74193548387096,25.806451612903224,50.0,93.54838709677419,3.225806451612903,96.7741935483871,48.38709677419355,100.0,25.806451612903224,50.0,96.7741935483871,93.54838709677419,53.2258064516129,93.54838709677419,53.2258064516129,54.83870967741935,79.03225806451613,37.096774193548384,87.09677419354838,48.38709677419355,48.38709677419355,50.0,75.80645161290323,50.0,50.0,50.0,20.967741935483872,51.61290322580645,14.516129032258066,74.19354838709677,43.54838709677419,40.32258064516129,67.74193548387096,74.19354838709677,45.16129032258064,12.903225806451612,70.96774193548387,64.51612903225806,75.80645161290323,82.25806451612904,70.96774193548387,32.25806451612903,51.61290322580645,90.32258064516128,6.451612903225806,87.09677419354838,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,58.06451612903226,66.12903225806451,27.419354838709676,66.12903225806451,33.87096774193548,27.419354838709676,24.193548387096776,45.16129032258064,25.806451612903224,96.7741935483871,96.7741935483871,27.419354838709676,3.225806451612903,6.451612903225806,24.193548387096776,9.67741935483871
Diego Alves Carreira,Goalkeeper,32.25806451612903,35.483870967741936,41.935483870967744,29.03225806451613,25.806451612903224,48.38709677419355,32.25806451612903,25.806451612903224,50.0,64.51612903225806,83.87096774193549,58.06451612903226,48.38709677419355,45.16129032258064,25.806451612903224,50.0,74.19354838709677,35.483870967741936,53.2258064516129,51.61290322580645,53.2258064516129,54.83870967741935,19.35483870967742,37.096774193548384,30.64516129032258,48.38709677419355,48.38709677419355,50.0,19.35483870967742,50.0,50.0,50.0,6.451612903225806,51.61290322580645,6.451612903225806,74.19354838709677,43.54838709677419,40.32258064516129,67.74193548387096,74.19354838709677,22.58064516129032,6.451612903225806,29.03225806451613,29.03225806451613,75.80645161290323,82.25806451612904,96.7741935483871,88.70967741935483,88.70967741935483,29.03225806451613,35.483870967741936,29.03225806451613,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,35.483870967741936,66.12903225806451,27.419354838709676,66.12903225806451,33.87096774193548,4.838709677419355,24.193548387096776,9.67741935483871,83.87096774193549,38.70967741935484,51.61290322580645,27.419354838709676,64.51612903225806,3.225806451612903,24.193548387096776,3.225806451612903
Diego Mariño Villar,Goalkeeper,45.16129032258064,70.96774193548387,58.06451612903226,77.41935483870968,70.96774193548387,48.38709677419355,51.61290322580645,91.93548387096774,50.0,88.70967741935483,80.64516129032258,83.87096774193549,48.38709677419355,67.74193548387096,90.32258064516128,50.0,87.09677419354838,61.29032258064516,53.2258064516129,64.51612903225806,53.2258064516129,3.225806451612903,19.35483870967742,37.096774193548384,30.64516129032258,48.38709677419355,48.38709677419355,50.0,19.35483870967742,50.0,50.0,50.0,70.96774193548387,51.61290322580645,87.09677419354838,74.19354838709677,43.54838709677419,40.32258064516129,67.74193548387096,74.19354838709677,48.38709677419355,83.87096774193549,91.93548387096774,90.32258064516128,75.80645161290323,82.25806451612904,83.87096774193549,59.67741935483871,61.29032258064516,58.06451612903226,38.70967741935484,74.19354838709677,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,30.64516129032258,27.419354838709676,27.419354838709676,72.58064516129032,51.61290322580645,24.193548387096776,79.03225806451613,80.64516129032258,20.967741935483872,35.483870967741936,27.419354838709676,74.19354838709677,54.83870967741935,24.193548387096776,93.54838709677419
Francisco Guillermo Ochoa Magaña,Goalkeeper,29.03225806451613,16.129032258064516,22.58064516129032,19.35483870967742,9.67741935483871,48.38709677419355,19.35483870967742,25.806451612903224,50.0,29.03225806451613,51.61290322580645,38.70967741935484,48.38709677419355,29.03225806451613,25.806451612903224,50.0,41.935483870967744,12.903225806451612,53.2258064516129,22.58064516129032,53.2258064516129,54.83870967741935,19.35483870967742,37.096774193548384,30.64516129032258,48.38709677419355,48.38709677419355,50.0,19.35483870967742,50.0,50.0,50.0,6.451612903225806,51.61290322580645,6.451612903225806,74.19354838709677,43.54838709677419,40.32258064516129,67.74193548387096,74.19354838709677,25.806451612903224,59.67741935483871,70.96774193548387,90.32258064516128,30.64516129032258,30.64516129032258,30.64516129032258,88.70967741935483,88.70967741935483,16.129032258064516,61.29032258064516,22.58064516129032,50.0,50.0,50.0,50.0,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,51.61290322580645,25.806451612903224,93.54838709677419,27.419354838709676,91.93548387096774,14.516129032258066,12.903225806451612,85.48387096774194,33.87096774193548,38.70967741935484,83.87096774193549,80.64516129032258,27.419354838709676,22.58064516129032,17.741935483870968,100.0,58.06451612903226
