player_name,position,time,Total Completed Passes,Total Long Passes,Total Medium Passes,Total Short Passes,Total Goal Assists,Total Passes,Total Shot Assists,Total Crosses,Completed Passes per 90 min,Long Passes per 90 min,Medium Passes per 90 min,Goal Assists per 90 min,Short Passes per 90 min,Shot Assists per 90 min,Crosses per 90 min,Pass Success Rate,Total Ball Receipts,Total Lost Balls,Ball Receipts per 90 min,Lost Balls per 90 min,Total Own Goals,Total Clearances,Total Left Foot Clearances,Total Right Foot Clearances,Total Head Clearances,Total Other Clearances,Total Aerial Duels Won,Clearances per 90 min,Aerial Duels Won per 90 min,Total Interceptions,Interceptions per 90 min,Total Fouls Won,Total Penalties Won,Fouls Won per 90 min,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total Penalties Conceded,Fouls Committed per 90 min,Total Ball Recoveries,Ball Recoveries per 90 min,Total Blocks,Blocks per 90 min,Total Completed Dribbles,Dribble Success Rate,Completed Dribbles per 90 min,Total Dribbled Past,Dribbled Past per 90 min,Total Carries,Mean Distance Carries,Carries per 90 min,Total Duels,Total Duels Won,Duel Won Rate,Duels Won per 90 min,Total Shots,Total Goals,Total Shots Saved,Total Shots Blocked,Total Shots On the Post,Total Shots Off Target,Total Shots On Target,Goals per 90 min,Shots per 90 min,Shots on Target per 90 min,Shots On Target Rate,Goal Conversion Rate,Total Saves,Total Goals Conceded,Total Penalties Saved,Total Penalties Scored Against,Total Punches,Total Keeper Sweeper,Total Smothers,Total Collected,Saves per 90 min,Goals Conceded per 90 min,Goals Conceded Rate,Penalties Saved Rate,Punch per 90 min,Keeper Sweeper per 90 min,Smothers per 90 min,Collected per 90 min
Abraham González Casanova,Left Center Midfield,35.38461538461539,33.84615384615385,50.76923076923077,52.307692307692314,27.692307692307693,31.538461538461537,32.30769230769231,36.92307692307693,26.153846153846157,52.307692307692314,61.53846153846154,81.53846153846153,38.46153846153847,43.07692307692308,54.61538461538461,33.07692307692307,64.61538461538461,24.615384615384617,80.0,16.153846153846153,73.84615384615385,53.07692307692308,42.30769230769231,61.53846153846154,50.0,30.76923076923077,49.23076923076923,44.61538461538462,50.0,49.23076923076923,44.61538461538462,65.38461538461539,7.6923076923076925,40.0,4.615384615384616,82.3076923076923,15.384615384615385,47.69230769230769,51.53846153846153,75.38461538461539,16.923076923076923,6.153846153846154,40.0,60.0,3.8461538461538463,4.615384615384616,3.076923076923077,65.38461538461539,56.92307692307692,20.0,3.076923076923077,18.461538461538463,27.692307692307693,39.23076923076923,63.07692307692307,65.38461538461539,33.07692307692307,36.15384615384615,58.46153846153847,23.076923076923077,70.0,23.076923076923077,36.15384615384615,43.07692307692308,38.46153846153847,53.07692307692308,75.38461538461539,42.30769230769231,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
Adrián González Morales,Center Attacking Midfield,70.76923076923077,64.61538461538461,63.07692307692307,70.76923076923077,58.46153846153847,10.76923076923077,67.6923076923077,42.30769230769231,58.46153846153847,41.53846153846154,41.53846153846154,52.307692307692314,10.76923076923077,35.38461538461539,13.846153846153847,49.23076923076923,33.84615384615385,55.38461538461539,44.61538461538462,9.230769230769232,83.07692307692308,53.07692307692308,83.07692307692308,45.38461538461539,71.53846153846153,88.46153846153845,100.0,95.38461538461539,80.0,93.84615384615384,72.3076923076923,46.15384615384615,19.230769230769234,40.0,3.076923076923077,17.692307692307693,90.76923076923077,47.69230769230769,51.53846153846153,35.38461538461539,65.38461538461539,35.38461538461539,83.07692307692308,63.84615384615384,15.384615384615385,9.230769230769232,7.6923076923076925,44.61538461538462,68.46153846153847,47.69230769230769,9.230769230769232,4.615384615384616,81.53846153846153,55.38461538461539,15.384615384615385,18.461538461538463,86.92307692307692,83.84615384615385,89.23076923076924,90.0,70.0,56.92307692307692,92.3076923076923,73.84615384615385,79.23076923076923,86.15384615384616,93.84615384615384,73.84615384615385,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
Alen Halilović,Center Attacking Midfield,80.0,56.92307692307692,84.61538461538461,60.0,55.38461538461539,88.46153846153845,56.92307692307692,61.53846153846154,70.76923076923077,26.153846153846157,80.0,33.07692307692307,80.0,20.0,31.538461538461537,53.84615384615385,52.307692307692314,63.07692307692307,18.461538461538463,24.615384615384617,46.15384615384615,53.07692307692308,35.38461538461539,73.07692307692307,18.461538461538463,30.76923076923077,49.23076923076923,16.923076923076923,21.53846153846154,16.923076923076923,23.846153846153847,6.153846153846154,81.53846153846153,40.0,64.61538461538461,91.53846153846153,33.84615384615385,47.69230769230769,51.53846153846153,100.0,72.3076923076923,38.46153846153847,33.84615384615385,3.076923076923077,96.15384615384616,41.53846153846154,87.6923076923077,26.153846153846157,50.76923076923077,70.76923076923077,95.38461538461539,32.30769230769231,24.615384615384617,11.538461538461538,11.538461538461538,4.615384615384616,93.07692307692308,66.92307692307692,70.0,96.15384615384616,26.153846153846157,95.38461538461539,88.46153846153845,54.61538461538461,89.23076923076924,77.6923076923077,24.615384615384617,38.46153846153847,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
André Filipe Tavares Gomes,Left Center Midfield,81.53846153846153,86.15384615384616,86.15384615384616,86.15384615384616,86.15384615384616,70.0,87.6923076923077,61.53846153846154,46.15384615384615,72.3076923076923,81.53846153846153,73.84615384615385,55.38461538461539,69.23076923076923,31.538461538461537,20.0,70.76923076923077,92.3076923076923,7.6923076923076925,86.15384615384616,24.615384615384617,53.07692307692308,66.15384615384615,61.53846153846154,61.53846153846154,73.07692307692307,49.23076923076923,60.0,50.0,45.38461538461539,62.30769230769231,30.0,76.92307692307693,89.23076923076924,57.692307692307686,4.615384615384616,90.76923076923077,47.69230769230769,51.53846153846153,16.923076923076923,90.76923076923077,83.07692307692308,80.76923076923077,50.76923076923077,93.07692307692308,70.76923076923077,83.07692307692308,18.461538461538463,40.0,92.3076923076923,81.53846153846153,80.0,92.3076923076923,63.84615384615384,13.846153846153847,33.84615384615385,75.38461538461539,66.92307692307692,85.38461538461539,86.92307692307692,70.0,56.92307692307692,86.15384615384616,54.61538461538461,63.07692307692307,73.84615384615385,84.61538461538461,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
Andrés Iniesta Luján,Left Center Midfield,72.3076923076923,96.92307692307692,100.0,96.92307692307692,95.38461538461539,51.53846153846153,93.84615384615384,76.92307692307693,52.307692307692314,98.46153846153847,100.0,100.0,38.46153846153847,93.84615384615384,57.692307692307686,35.38461538461539,95.38461538461539,96.92307692307692,53.84615384615385,100.0,89.23076923076924,53.07692307692308,62.30769230769231,18.461538461538463,90.0,42.30769230769231,49.23076923076923,16.923076923076923,46.15384615384615,16.923076923076923,31.538461538461537,9.230769230769232,75.38461538461539,40.0,60.76923076923077,53.84615384615385,15.384615384615385,47.69230769230769,51.53846153846153,85.38461538461539,75.38461538461539,56.92307692307692,47.69230769230769,13.076923076923078,86.15384615384616,83.07692307692308,69.23076923076923,20.0,35.38461538461539,98.46153846153847,29.230769230769234,100.0,46.15384615384615,81.53846153846153,98.46153846153847,72.3076923076923,45.38461538461539,36.15384615384615,43.07692307692308,35.38461538461539,70.0,69.23076923076923,36.15384615384615,27.692307692307693,13.846153846153847,7.6923076923076925,12.307692307692308,33.07692307692307,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
Arda Turan,Left Center Midfield,20.0,50.76923076923077,36.15384615384615,47.69230769230769,53.84615384615385,70.0,40.0,6.153846153846154,13.076923076923078,96.92307692307692,51.53846153846153,87.6923076923077,96.92307692307692,100.0,10.76923076923077,18.461538461538463,100.0,38.46153846153847,84.61538461538461,95.38461538461539,52.307692307692314,53.07692307692308,11.538461538461538,18.461538461538463,18.461538461538463,20.0,49.23076923076923,16.923076923076923,19.230769230769234,16.923076923076923,4.615384615384616,4.615384615384616,27.692307692307693,40.0,67.6923076923077,58.46153846153847,82.3076923076923,47.69230769230769,51.53846153846153,13.846153846153847,40.0,95.38461538461539,37.69230769230769,86.15384615384616,39.23076923076923,95.38461538461539,76.15384615384615,74.61538461538461,38.46153846153847,41.53846153846154,21.53846153846154,98.46153846153847,23.076923076923077,55.38461538461539,96.92307692307692,100.0,6.923076923076923,54.61538461538461,6.153846153846154,10.0,26.153846153846157,14.615384615384617,8.461538461538462,80.76923076923077,8.461538461538462,13.846153846153847,38.46153846153847,100.0,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
Charly Musonda Junior,Left Midfield,36.92307692307693,20.0,15.384615384615385,15.384615384615385,24.615384615384617,31.538461538461537,23.076923076923077,23.076923076923077,61.53846153846154,4.615384615384616,20.0,9.230769230769232,31.538461538461537,9.230769230769232,23.076923076923077,73.84615384615385,38.46153846153847,33.84615384615385,63.07692307692307,18.461538461538463,42.30769230769231,53.07692307692308,28.46153846153846,45.38461538461539,50.0,20.0,49.23076923076923,16.923076923076923,31.538461538461537,16.923076923076923,31.538461538461537,35.38461538461539,79.23076923076923,89.23076923076924,95.38461538461539,67.6923076923077,15.384615384615385,47.69230769230769,51.53846153846153,64.61538461538461,34.61538461538461,26.923076923076923,18.461538461538463,15.384615384615385,84.61538461538461,60.0,95.38461538461539,70.0,74.61538461538461,36.92307692307693,98.46153846153847,35.38461538461539,27.692307692307693,15.384615384615385,16.923076923076923,10.76923076923077,26.923076923076923,36.15384615384615,43.07692307692308,29.230769230769234,26.153846153846157,14.615384615384617,32.30769230769231,36.15384615384615,15.384615384615385,30.76923076923077,84.61538461538461,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
Daniel Arnaud N''Di	,Center Attacking Midfield,10.76923076923077,3.076923076923077,7.6923076923076925,4.615384615384616,3.8461538461538463,10.76923076923077,3.076923076923077,9.230769230769232,26.153846153846157,3.076923076923077,7.6923076923076925,7.6923076923076925,10.76923076923077,3.076923076923077,27.692307692307693,58.46153846153847,16.923076923076923,16.923076923076923,46.15384615384615,66.15384615384615,1.5384615384615385,53.07692307692308,11.538461538461538,18.461538461538463,18.461538461538463,20.0,49.23076923076923,16.923076923076923,23.076923076923077,16.923076923076923,13.076923076923078,30.0,61.53846153846154,40.0,100.0,76.92307692307693,33.84615384615385,47.69230769230769,51.53846153846153,27.692307692307693,9.230769230769232,15.384615384615385,4.615384615384616,13.076923076923078,30.76923076923077,78.46153846153847,66.15384615384615,100.0,100.0,12.307692307692308,75.38461538461539,26.153846153846157,50.76923076923077,15.384615384615385,6.153846153846154,43.07692307692308,23.076923076923077,36.15384615384615,23.846153846153847,18.461538461538463,26.153846153846157,30.0,19.230769230769234,58.46153846153847,52.307692307692314,35.38461538461539,26.153846153846157,64.61538461538461,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
Daniel Ceballos Fernández,Center Attacking Midfield,69.23076923076923,84.61538461538461,81.53846153846153,73.84615384615385,83.07692307692308,51.53846153846153,80.0,55.38461538461539,38.46153846153847,73.84615384615385,73.84615384615385,60.0,38.46153846153847,78.46153846153847,29.230769230769234,13.846153846153847,69.23076923076923,78.46153846153847,38.46153846153847,67.6923076923077,64.61538461538461,53.07692307692308,79.23076923076923,45.38461538461539,93.07692307692308,76.15384615384615,49.23076923076923,80.76923076923077,71.53846153846153,70.0,81.53846153846153,81.53846153846153,97.6923076923077,40.0,93.84615384615384,17.692307692307693,90.76923076923077,47.69230769230769,51.53846153846153,30.0,89.23076923076924,89.23076923076924,68.46153846153847,36.92307692307693,87.6923076923077,46.15384615384615,78.46153846153847,6.153846153846154,4.615384615384616,86.15384615384616,70.76923076923077,83.07692307692308,86.92307692307692,90.76923076923077,73.84615384615385,81.53846153846153,37.69230769230769,13.076923076923078,23.846153846153847,43.84615384615385,70.0,43.84615384615385,30.76923076923077,13.076923076923078,3.076923076923077,6.153846153846154,27.692307692307693,13.076923076923078,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
Daniel Parejo Muñoz,Right Center Midfield,95.38461538461539,93.84615384615384,95.38461538461539,98.46153846153847,93.84615384615384,88.46153846153845,95.38461538461539,83.07692307692308,61.53846153846154,89.23076923076924,92.3076923076923,95.38461538461539,74.61538461538461,75.38461538461539,46.15384615384615,36.92307692307693,75.38461538461539,93.84615384615384,36.15384615384615,70.0,84.61538461538461,53.07692307692308,87.6923076923077,82.3076923076923,78.46153846153847,90.76923076923077,49.23076923076923,80.76923076923077,74.61538461538461,66.15384615384615,92.3076923076923,76.15384615384615,95.38461538461539,89.23076923076924,83.07692307692308,13.846153846153847,95.38461538461539,47.69230769230769,51.53846153846153,50.0,93.84615384615384,72.3076923076923,86.15384615384616,49.23076923076923,70.76923076923077,56.92307692307692,33.84615384615385,1.5384615384615385,3.076923076923077,93.84615384615384,32.30769230769231,73.84615384615385,90.76923076923077,92.3076923076923,87.6923076923077,80.0,84.61538461538461,98.46153846153847,79.23076923076923,76.15384615384615,92.3076923076923,73.84615384615385,88.46153846153845,93.84615384615384,56.15384615384615,60.0,72.3076923076923,90.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077,50.76923076923077
